"Duration__in_seconds_","ResponseId","interviewer_id","study_area_sa","test_survey","surv_taker","quota_age_","quota_gender","quota_age_SNIS","quota_educ_ZA","quota_edu_GH","quota_edu_IN","quota_edu_ID","informed_perception","perception_current","perception_past","perception_spatial","concern_gen","concern_second_perso","concern_second_gov","quota_gender.0","quota_education","hh_inc_ZA","hh_inc_Jak","hh_inc_Acc","hh_inc_Del","attn_check_pt","trust_loc_gov","trust_nat_gov","trust_bus_ind","trust_citizens","trust_experts","trust_ios","trust_ranking","trust_ranking_slider","trust_city_cap","trust_city_commit","trust_city_citizen","gen_social_trust","attn_check_other","envir_tradeoff","pre_treat_trust","trust_support_base","lgov_support","lgov_implementation","lgov_fairness","lgov_coordination","lgov_accountability","bigco_support","bigco_implementation","bigco_fairness","bigco_coordination","bigco_accountability","smallco_support","smallco_implement","smallco_fairness","smallco_coordination","smallco_accountab","manipul_check_trust","follow_up_probe_break_promises","follow_up_probe_capacity","follow_up_probe_not_willing","follow_up_probe_compliance","trust_traitor","trust_bad_compromise","trust_actor_reward_loc_gov","trust_actor_reward_experts","trust_actor_reward_ios","trust_actor_reward_citizens","trust_actor_reward_business","trust_actor_reward_none","trust_actor_punish_loc_gov","trust_actor_punish_experts","trust_actor_punish_ios","trust_actor_punish_citizens","trust_actor_punish_business","trust_actor_punish_none","difficulty_1","comments","date_survey","surv_city","display","RespID","trust_actors_treat_assign","del_split","jak_split","end_flag","quota_female_male","attn_fail_other","attn_fail_pt","attn_fail_time","attn_drop","attn_drop_reason","date","video_understand","potential_drop","age","gender","income","edu"
1666,"R_7cItlrFVQ5rrdbt",32,108,2,2,2,NA,NA,NA,NA,NA,NA,4,3,4,4,3,3,3,2,3,2,NA,NA,NA,1,1,1,1,1,1,5,NA,2,NA,NA,NA,3,NA,1,2,3,5,5,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","R1NYQ","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,2,3
2301,"R_gav1iwwK3ieWSJS",26,108,2,1,1,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,3,2,3,7,NA,NA,NA,1,2,2,1,2,1,4,NA,4,NA,NA,NA,3,NA,1,2,5,5,5,5,5,1,5,5,5,5,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I think the survey is something good","","joh_person","","YVII5","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,1,2,7,3
1874,"R_0ragfBln2o94oFB",13,108,NA,2,2,NA,NA,NA,NA,NA,NA,4,4,2,4,2,2,1,1,4,2,NA,NA,NA,1,1,1,2,2,1,2,NA,2,NA,NA,NA,2,NA,1,1,4,5,1,1,1,5,NA,NA,NA,NA,NA,5,1,1,1,5,3,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"You must make sure that you work to reduce air pollution.","","joh_person","","MFO79","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,1,2,4
3034,"R_jVIT9g688TTj7u4",21,108,2,1,2,NA,NA,NA,NA,NA,NA,1,1,1,4,4,4,4,1,4,8,NA,NA,NA,2,3,4,4,4,4,4,NA,3,NA,NA,NA,2,NA,1,1,3,NA,NA,NA,NA,NA,4,4,2,5,5,2,2,4,5,3,4,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"My tshivenda languages is not recognized. Worse is a president s languages","","joh_person","","I74BC","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",2,0,2,1,8,4
1926,"R_kVRdo1dozYCmBK1",25,108,2,2,3,NA,NA,NA,NA,NA,NA,3,3,4,4,2,2,2,1,4,-99,NA,NA,NA,1,4,4,4,4,3,4,NA,3,NA,NA,NA,4,NA,1,2,4,NA,NA,NA,NA,NA,5,4,5,4,4,5,4,3,4,3,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","C18FA","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,3,1,-99,4
1998,"R_a2UNNFgko8V1UVX",2,108,2,2,2,NA,NA,NA,NA,NA,NA,4,2,3,1,4,4,1,1,3,4,NA,NA,NA,1,4,4,3,4,4,5,NA,3,NA,NA,NA,3,NA,1,2,5,5,5,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It's good it just the government must work on this thing","","joh_person","","2QHOF","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,1,4,3
2680,"R_jxGsmCEzXRd1u6T",28,109,NA,1,3,NA,NA,NA,NA,NA,NA,5,2,3,1,3,2,1,2,4,8,NA,NA,NA,1,2,1,3,2,3,2,NA,4,NA,NA,NA,3,NA,2,2,5,5,5,5,3,2,5,5,5,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It's a good survey.","","joh_person","","H2GOQ","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,3,2,8,4
2231,"R_2iAG5mAAusjnOeU",NA,108,2,2,3,NA,NA,NA,NA,NA,NA,4,2,3,4,3,2,3,2,3,2,NA,NA,NA,1,5,5,5,5,5,5,NA,4,NA,NA,NA,5,NA,2,2,5,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,3,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","2NWE2","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,3,2,2,3
1895,"R_84h1nHKgV9uxiKK",26,108,2,1,1,NA,NA,NA,NA,NA,NA,2,1,3,3,3,3,3,2,3,3,NA,NA,NA,1,1,1,1,5,1,1,NA,2,NA,NA,NA,1,NA,1,2,5,NA,NA,NA,NA,NA,5,5,5,5,1,5,5,5,5,1,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","SGRE6","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",1,0,1,2,3,3
2152,"R_oQ7qxQ5btTcB6Po",1,104,2,1,1,NA,NA,NA,NA,NA,NA,4,2,2,4,3,1,2,2,4,7,NA,NA,NA,1,2,2,2,2,4,4,NA,2,NA,NA,NA,2,NA,2,2,4,NA,NA,NA,NA,NA,4,3,4,4,4,5,4,4,4,4,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","JP7UL","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",4,0,1,2,7,4
1862,"R_i58leGGNYbSKfQs",25,109,2,2,4,NA,NA,NA,NA,NA,NA,4,1,1,1,4,4,3,1,3,1,NA,NA,NA,1,4,4,2,5,3,3,NA,2,NA,NA,NA,1,NA,2,2,5,2,5,5,4,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","D6X6N","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,4,1,1,3
1899,"R_hgW00BdIu33yll6",2,109,2,2,4,NA,NA,NA,NA,NA,NA,1,4,4,4,1,3,4,1,4,1,NA,NA,NA,1,5,1,1,5,1,5,NA,1,NA,NA,NA,1,NA,1,2,3,5,5,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,4,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unfortunately I don't have any","","joh_person","","8I9JM","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,4,1,1,4
2296,"R_nPrXI5Gb7nYPPTT",5,109,NA,1,2,NA,NA,NA,NA,NA,NA,2,1,1,2,3,3,1,1,4,1,NA,NA,NA,1,2,1,1,4,2,1,NA,2,NA,NA,NA,2,NA,2,1,5,NA,NA,NA,NA,NA,5,4,4,4,1,5,5,4,5,1,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Am very happy that people must be informed about air pollution","","joh_person","","WEDP4","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,1,1,4
1801,"R_cc4zSq32Tcj9sDO",34,104,2,2,2,NA,NA,NA,NA,NA,NA,4,4,3,4,3,2,3,2,5,1,NA,NA,NA,1,2,2,3,3,4,1,NA,2,NA,NA,NA,1,NA,1,2,5,3,1,1,2,1,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Would like to see road Improvement and creating job opportunities","","joh_person","","G0OFX","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,1,5
1850,"R_3urKzRZHgHO13EB",32,109,2,2,2,NA,NA,NA,NA,NA,NA,4,4,3,3,3,2,1,2,5,4,NA,NA,NA,1,1,1,4,4,1,1,NA,1,NA,NA,NA,1,NA,1,2,5,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,1,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","EDN46","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,4,5
1539,"R_4fxwZRGvn3mELet",25,109,2,2,2,NA,NA,NA,NA,NA,NA,3,1,1,1,3,3,3,2,4,3,NA,NA,NA,1,2,2,2,2,2,3,NA,4,NA,NA,NA,NA,NA,2,2,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","V2VY4","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",4,0,2,2,3,4
4136,"R_bS5ZrUfPCYQat5O",13,109,NA,1,2,NA,NA,NA,NA,NA,NA,4,1,1,1,4,4,1,2,2,2,NA,NA,NA,1,1,1,1,1,1,1,NA,2,NA,NA,NA,1,NA,1,2,1,5,5,5,5,1,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","2GFBK","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,2,2
1329,"R_cTk1YCfTIDXf0yy",32,109,2,2,1,NA,NA,NA,NA,NA,NA,2,2,1,2,3,2,1,2,4,1,NA,NA,NA,1,2,2,2,4,4,2,NA,4,NA,NA,NA,4,NA,2,2,5,5,4,2,4,5,NA,NA,NA,NA,NA,4,5,2,2,4,3,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very helpful and gives awareness","","joh_person","","4M7ZA","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,1,2,1,4
1539,"R_0M46l6ep6VCD0pO",1,104,2,2,4,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,2,1,4,-98,NA,NA,NA,1,1,1,1,1,1,5,NA,3,NA,NA,NA,1,NA,1,1,3,5,1,4,5,5,NA,NA,NA,NA,NA,5,4,5,4,5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very good and easy to understand","","joh_person","","4LELB","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,4,1,-98,4
2082,"R_iAqjQsentLnleUH",26,109,2,2,1,NA,NA,NA,NA,NA,NA,1,4,1,1,4,4,3,2,2,2,NA,NA,NA,1,5,1,5,5,5,5,NA,2,NA,NA,NA,1,NA,1,2,5,5,5,5,5,1,5,4,4,5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thank you for teaching us about Air pollution","","joh_person","","FTWZO","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,1,2,2,2
2479,"R_iqiijAhicnSjpEi",2,109,2,1,2,NA,NA,NA,NA,NA,NA,4,4,4,3,4,1,1,1,4,2,NA,NA,NA,1,5,5,5,5,5,5,NA,4,NA,NA,NA,1,NA,1,1,1,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","joh_person","","RN5NO","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",1,0,2,1,2,4
1638,"R_0gwFJ86n3oYEAa2",26,109,2,1,1,NA,NA,NA,NA,NA,NA,2,1,2,5,1,2,2,2,3,7,NA,NA,NA,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,2,2,1,5,1,1,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","joh_person","","B5DO4","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",1,0,1,2,7,3
2658,"R_acknac7BOymM04s",19,108,2,2,2,NA,NA,NA,NA,NA,NA,4,1,3,4,3,3,1,1,3,2,NA,NA,NA,1,2,2,2,2,2,2,NA,2,NA,NA,NA,5,NA,1,2,4,2,2,4,2,4,4,3,4,3,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Government does not treat us well,they are not fair","","joh_person","","G263C","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",4,0,2,1,2,3
3166,"R_cHlUZzksmnxCJwq",7,108,2,2,1,NA,NA,NA,NA,NA,NA,1,2,3,4,2,1,4,2,3,2,NA,NA,NA,1,4,4,2,2,4,2,NA,2,NA,NA,NA,1,NA,1,2,5,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,1,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","","joh_person","","5NB0T","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,1,2,2,3
5112,"R_7yqycoEZMmO7amE",7,109,2,2,1,NA,NA,NA,NA,NA,NA,3,2,3,3,3,2,1,2,3,1,NA,NA,NA,1,2,2,4,2,4,4,NA,1,NA,NA,NA,1,NA,2,2,3,4,4,4,4,1,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","","joh_person","","FPT27","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",4,0,1,2,1,3
2309,"R_l7oaTEwNq93VU90",19,109,2,2,2,NA,NA,NA,NA,NA,NA,1,2,3,2,3,3,1,2,3,2,NA,NA,NA,1,4,1,1,1,1,1,NA,2,NA,NA,NA,1,NA,1,2,4,5,4,2,1,5,NA,NA,NA,NA,NA,5,5,5,2,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","","joh_person","","ONSD9","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,2,3
1925,"R_n4oVS9aziTtcP4C",7,109,2,1,1,NA,NA,NA,NA,NA,NA,4,4,4,4,2,3,3,2,3,-98,NA,NA,NA,1,1,2,2,1,2,1,NA,2,NA,NA,NA,4,NA,2,1,4,NA,NA,NA,NA,NA,4,4,4,4,2,4,4,4,4,4,3,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","TLBT5","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",4,0,1,2,-98,3
2590,"R_nFgDCYAtPYsOeAw",18,104,2,2,2,NA,NA,NA,NA,NA,NA,4,2,3,3,3,3,3,2,3,6,NA,NA,NA,1,5,4,3,5,4,4,NA,2,NA,NA,NA,2,NA,1,2,4,NA,NA,NA,NA,NA,5,5,5,4,5,5,5,5,5,5,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It is good","","joh_person","","KR9BT","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,6,3
1964,"R_2wLnCp1bPQ1NxQF",8,104,2,1,1,NA,NA,NA,NA,NA,NA,1,3,2,4,4,2,1,2,3,1,NA,NA,NA,1,1,1,4,4,4,5,NA,3,NA,NA,NA,4,NA,2,2,5,NA,NA,NA,NA,NA,4,5,4,5,4,5,4,4,4,2,4,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It took long","","joh_person","","W82HG","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,1,2,1,3
1447,"R_oDqA7wyBt9YxfgQ",18,104,2,1,1,NA,NA,NA,NA,NA,NA,5,3,2,1,3,3,3,2,3,1,NA,NA,NA,1,4,4,4,5,4,4,NA,1,NA,NA,NA,4,NA,2,1,4,NA,NA,NA,NA,NA,5,5,4,4,5,5,5,5,5,5,3,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It's very long and try to keep it short","","joh_person","","DR4Z0","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",4,0,1,2,1,3
2105,"R_0OTzSzMrLe9x0dZ",18,104,2,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,3,4,1,2,3,3,NA,NA,NA,1,4,3,2,4,4,4,NA,2,NA,NA,NA,2,NA,1,2,5,NA,NA,NA,NA,NA,5,4,4,4,4,5,3,3,2,1,1,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"If they work together and reduce corruption it will help and be good work in health sector","","joh_person","","RCDLL","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,3,3
2100,"R_9NtqFGXnar7axFI",12,104,2,2,3,NA,NA,NA,NA,NA,NA,2,3,2,3,2,3,1,2,5,-98,NA,NA,NA,1,1,1,1,1,1,1,NA,2,NA,NA,NA,1,NA,1,2,5,NA,NA,NA,NA,NA,5,5,5,5,5,4,5,5,2,4,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Finally!","","joh_person","","35X93","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,3,2,-98,5
2574,"R_nu7Azv4EF4wVOrI",12,104,2,2,4,NA,NA,NA,NA,NA,NA,4,2,2,4,4,1,1,1,4,-99,NA,NA,NA,1,4,5,5,5,5,5,NA,3,NA,NA,NA,2,NA,2,2,5,1,1,1,1,5,NA,NA,NA,NA,NA,5,5,5,5,5,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It's a wonderful job creating the surveys and this can help the community","","joh_person","","YB874","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,4,1,-99,4
2166,"R_fjhHVjxME74eSK1",14,104,2,1,3,NA,NA,NA,NA,NA,NA,4,4,4,4,2,2,1,1,6,8,NA,NA,NA,2,3,2,1,3,5,5,NA,3,NA,NA,NA,3,NA,1,2,5,NA,NA,NA,NA,NA,5,5,4,4,5,5,5,5,4,5,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Continue with the survey to raise awareness.","","joh_person","","Q62PZ","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,3,1,8,6
1711,"R_jVKb1rH4PZEmWMm",24,104,2,2,3,NA,NA,NA,NA,NA,NA,5,4,4,1,4,3,2,2,5,-98,NA,NA,NA,1,3,4,4,5,2,3,NA,2,NA,NA,NA,1,NA,2,2,4,4,5,1,2,1,5,5,5,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","LL3NI","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",4,0,3,2,-98,5
2330,"R_hcvVeUiWODFAZNW",23,104,2,2,4,NA,NA,NA,NA,NA,NA,1,2,3,3,4,4,2,2,1,5,NA,NA,NA,1,5,5,4,5,5,1,NA,3,NA,NA,NA,1,NA,2,2,5,2,1,1,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"They are very nice , I love them","","joh_person","","GTCMO","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,4,2,5,1
1385,"R_4dtg0IxSEeMGz3u",24,104,2,2,2,NA,NA,NA,NA,NA,NA,4,4,3,4,2,1,1,2,3,-98,NA,NA,NA,1,1,1,3,3,2,3,NA,2,NA,NA,NA,3,NA,1,1,5,NA,NA,NA,NA,NA,5,4,2,4,5,5,5,3,2,5,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It's an interesting study","","joh_person","","J7RMY","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,-98,3
1820,"R_3OXxXgwCHoxZRXB",23,104,2,2,1,NA,NA,NA,NA,NA,NA,5,4,3,3,2,2,1,1,3,-98,NA,NA,NA,1,2,1,5,2,4,1,NA,2,NA,NA,NA,1,NA,1,2,5,5,5,2,2,1,5,5,5,5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","R791R","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,1,1,-98,3
1306,"R_8FieKGldngxDrjz",4,104,2,1,2,NA,NA,NA,NA,NA,NA,4,1,1,2,3,3,1,2,4,6,NA,NA,NA,1,2,1,2,3,2,1,NA,2,NA,NA,NA,2,NA,2,1,5,NA,NA,NA,NA,NA,4,4,4,2,NA,5,4,4,4,2,1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","UGEOF","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,6,4
1526,"R_odl4xtqPQnDGzxm",31,104,2,1,1,NA,NA,NA,NA,NA,NA,1,1,2,2,4,4,4,1,4,-98,NA,NA,NA,1,1,1,1,1,1,4,NA,1,NA,NA,NA,2,NA,1,2,4,NA,NA,NA,NA,NA,4,4,2,NA,NA,2,4,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","joh_person","","ZXBDA","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",3,0,1,1,-98,4
1152,"R_gp6TChsJa2nfYCJ",4,104,2,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,4,2,2,2,4,-98,NA,NA,NA,1,1,1,4,5,1,2,NA,4,NA,NA,NA,4,NA,1,2,5,5,5,5,2,2,NA,NA,NA,NA,NA,5,4,1,2,1,1,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Great survey,I hope it teaches people to not pollute ,such as dumping","","joh_person","","DSOLC","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,1,2,-98,4
3175,"R_gAbEKEuPy6zoBXz",31,104,2,2,1,NA,NA,NA,NA,NA,NA,4,5,4,5,4,1,1,2,3,2,NA,NA,NA,1,3,5,5,5,5,5,NA,4,NA,NA,NA,1,NA,1,1,5,1,5,5,5,5,5,5,5,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"It was very good and educational","","joh_person","","AAP6J","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",1,0,1,2,2,3
1938,"R_gtN51ElJrgAEUpR",15,104,NA,2,3,NA,NA,NA,NA,NA,NA,3,4,4,3,3,4,4,1,4,5,NA,NA,NA,1,2,2,5,5,3,4,NA,4,NA,NA,NA,5,NA,2,2,5,5,5,5,5,3,NA,NA,NA,NA,NA,5,5,5,5,3,1,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","joh_person","","CLYMZ","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,3,1,5,4
2183,"R_l7xGibkjBXnXeSu",6,104,NA,2,2,NA,NA,NA,NA,NA,NA,4,4,3,3,1,1,1,2,3,-98,NA,NA,NA,1,5,3,5,5,5,5,NA,4,NA,NA,NA,3,NA,1,2,5,1,3,1,3,3,1,3,5,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","joh_person","","3CXBN","local_gov_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",3,0,2,2,-98,3
2686,"R_6pKldtECPpWCkuH",6,104,NA,2,1,NA,NA,NA,NA,NA,NA,2,1,1,2,3,2,1,1,4,1,NA,NA,NA,1,1,1,1,1,1,1,NA,2,NA,NA,NA,1,NA,1,2,5,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,3,3,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","joh_person","","HZXXH","small_coalition_big_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,1,1,1,4
2554,"R_juZWWFKSt4gvsFi",16,104,2,1,2,NA,NA,NA,NA,NA,NA,1,2,2,2,3,2,1,2,6,4,NA,NA,NA,1,5,1,5,2,1,5,NA,4,NA,NA,NA,NA,NA,1,2,5,5,5,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Please improve the English and make it easier for us to understand ...and make it very short for to go very easy and people to state their views in manually.","","joh_person","","J4QSK","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,4,6
1903,"R_87OLjfwHihWVwOY",20,104,2,2,2,NA,NA,NA,NA,NA,NA,3,2,4,4,1,1,1,2,1,-98,NA,NA,NA,1,3,1,1,5,5,5,NA,4,NA,NA,NA,1,NA,1,2,5,1,5,1,3,1,NA,NA,NA,NA,NA,5,5,5,5,1,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survey was way to long","","joh_person","","P0C2R","local_gov_small_coalition","","","complete","","","","",NA,NA,"2025-01-16",5,0,2,2,-98,1
